iter	Logloss
0	0.6693648089
1	0.6453981947
2	0.6226225359
3	0.6042991637
4	0.5725063042
5	0.5545603798
6	0.5351402861
7	0.5189745897
8	0.5057746476
9	0.4870709841
10	0.4716850497
11	0.4617102272
12	0.4509048352
13	0.4403821599
14	0.4294629759
15	0.4103465537
16	0.3917133409
17	0.3778899306
18	0.3647745827
19	0.3460309244
20	0.3335488189
21	0.3252766961
22	0.3137898802
23	0.3001896532
24	0.2950961465
25	0.2889004706
26	0.2826085219
27	0.2710002806
28	0.2612067088
29	0.2447504414
30	0.2364589045
31	0.2307288974
32	0.2240050599
33	0.2151965809
34	0.212911537
35	0.2072328559
36	0.2047641785
37	0.197964802
38	0.1874545665
39	0.181219815
40	0.1783041409
41	0.1746999738
42	0.1676073316
43	0.1589944621
44	0.1562577997
45	0.1518785952
46	0.147917507447	0.1430784353448	0.1387937782449	0.136318132850	0.1328223064
51	0.1298130192
52	0.1271701114
53	0.1234682287
54	0.121485955
55	0.1184375061
56	0.1153439829
57	0.1135953802
58	0.1108321667
59	0.1083095563
60	0.1065590798
61	0.1054688469
62	0.1017188028
63	0.09929930868
64	0.09595931255
65	0.09456113358
66	0.09075179063
67	0.08834862556
68	0.08734733131
69	0.08570617211
70	0.08429721664
71	0.08123856027
72	0.07755852635
73	0.0757198681
74	0.07305840375	75	0.06999107676	76	0.06823226077	77	0.06581118878	0.0737122589
79	0.06992071734
80	0.06883391716
81	0.06789007937
82	0.0663181624
83	0.06583412685
84	0.06558961181
85	0.06400254057
86	0.06322793175
87	0.06247896785
88	0.06097866168
89	0.06072722957
90	0.05993523237
91	0.05878192873
92	0.05586709326
93	0.05503702525
94	0.0541507631
95	0.05304200531
96	0.05271073743
97	0.05048674314
98	0.04978525202
99	0.0492274554
100	0.04864019627
101	0.04767046059
102	0.04667573487
103	0.04580000224
104	0.04462181715
105	0.04378864932
106	0.04315072988
107	0.04264146329
108	0.04128529437
109	0.04050608463
110	0.03917301508
111	0.0385317688
112	0.03776388289
113	0.03652549479
114	0.03598923086
115	0.03552205333
116	0.03494989908
117	0.03433027549
118	0.03390090533
119	0.0336301374
120	0.03253191998
121	0.03238931699
122	0.03151525992
123	0.03102747921
124	0.03052440793
125	0.02992732198
126	0.02983218564
127	0.02977418589
128	0.02949144222
129	0.02941698103
130	0.02894405282
131	0.02832963767
132	0.02765391338
133	0.0275818148
134	0.02711827798
135	0.02676202616
136	0.02654184253
137	0.02599322789
138	0.02560174855
139	0.02515355311
140	0.02487184617
141	0.0243502187
142	0.0240158179
143	0.0239527728
144	0.02383548363
145	0.02350536581
146	0.02313497699
147	0.02288338339
148	0.02258615874
149	0.02213200084
150	0.02199197232
151	0.02129022602
152	0.02093689607
153	0.02072544032
154	0.02053019125
155	0.02048363074
156	0.02020414242
157	0.01971120237
158	0.01920828087
159	0.01891930363
160	0.0183992385
161	0.01777419941
162	0.01773452857
163	0.0173202558
164	0.01647846992
165	0.01622497893
166	0.01609644944
167	0.01562856185
168	0.01559091789
169	0.01539026727
170	0.01500793255
171	0.0147147708
172	0.01430618484
173	0.01415499274
174	0.01393181074
175	0.01377306779
176	0.01363452579
177	0.01351653655
178	0.01325607479
179	0.01299603437
180	0.0129353461
181	0.01289381122
182	0.01262694343
183	0.01228122824
184	0.01215137372
185	0.01191336118
186	0.01189504818
187	0.0116978564
188	0.01154809727
189	0.01142534094
190	0.01140993033
191	0.0113070826
192	0.01125674501
193	0.01102341368
194	0.01090183791
195	0.01077159251
196	0.01060062542
197	0.01049333442
198	0.01026820285
199	0.0101502908
200	0.00975421095
201	0.009716069764
202	0.00954880094
203	0.009440839408
204	0.009345975536
205	0.009326932602
206	0.009313580736
207	0.009089258086
208	0.008934780293
209	0.008919065943
210	0.008855450521
211	0.008769690895
212	0.008716635421
21213	0.0088663307121214	0.008846106368
215	0.008751765205
216	0.008668691032
217	0.008593943765
218	0.008577363823
219	0.008508784205
220	0.008421205993
221	0.008298591356
222	0.008282737436
223	0.008267475923
224	0.008115376359
